ICO	ROK_UZ	stari	zamestnanci	zamereni	ROA	PROA	ROE	2h_vyuz	2h_spok
25566130	2009	2	2	3	-8.69208692086921E-02	-3.70461482392602E-02	-0.387049659201558	0	0
27080439	2009	2	4	2	3.75532349230068E-02	5.01910611514446E-02	4.49619307344294E-02	2	3
27080439	2008	2	4	2	3.36184139254485E-02	3.69035365323404E-02	2.66162638144582E-02	2	3
27080439	2010	2	4	2	2.59741831644021E-02	4.46159697290179E-02	1.20704981907162E-02	2	3
61329266	2010	2	3	2	7.31528435992383E-02	0.105012548753984	0.20077747514525	3	4
61329266	2009	2	3	2	2.33353196823212E-02	5.37906730640803E-02	5.19459371437877E-02	3	4
61329266	2008	2	3	2	-7.79921022437981E-03	1.38574415117891E-02	-5.45468733742587E-02	3	4
27701042	2008	3	2	1	0.129866474874136	0.160112886581819	0.35429598629329	0	0
27701042	2010	3	2	1	5.04905135400926E-02	6.46302559305366E-02	7.48115753233461E-02	0	0
27701042	2009	3	2	1	0.175983374495512	0.229865670742726	0.322146045918367	0	0
26031531	2009	2	4	1	0.153633374099742	1.84400054355211E-03	0.607317329824124	3	3
26031531	2010	2	4	1	2.59626179638581E-02	0.022105778500136	0.162524210212661	3	3
26031531	2008	2	4	1	-0.204079697149999	-1.78118554408365E-02	-2.27274535149647	3	3
48911887	2010	2	3	1	0.105680871495164	0.1290644654588	9.09991124542474E-02	1	5
48911887	2009	2	3	1	0.182022922636103	0.244286532951289	0.155190025240044	1	5
48911887	2008	2	3	1	0.180727740204572	0.242177631211224	0.153386579857168	1	5
15041042	2008	2	2	3	0.124763885443895	0.193947835378069	0.12335187474248	3	1
15041042	2010	2	2	3	0.158439853394358	0.207946609288671	0.147581896260989	3	1
15041042	2009	2	2	3	0.103632903185326	0.135067868571309	9.03228970014956E-02	3	1
26461498	2009	2	3	1	3.36599769041742E-02	0.06263921802569	0.048732533232624	1	3
26461498	2010	2	3	1	0.127711261223443	8.06573486821405E-02	0.442308711136402	1	3
26461498	2008	2	3	1	2.47713747905135E-02	-5.42923048030289E-02	3.78717356766955E-02	1	3
15771695	2009	2	4	1	0.13737753529357	0.159080940120354	0.168150655253686	3	3
15771695	2008	2	4	1	0.495258524267072	8.00042794857897E-02	0.799321089506579	3	3
15771695	2010	2	4	1	9.46827162494659E-02	0.124104577667114	0.119910328172679	3	3
25134701	2008	2	3	2	-0.0282815156261	-5.35173295693893E-02	-0.112488559780348	3	5
25134701	2010	2	3	2	8.73847277810658E-02	0.101597610170474	0.221908495629089	3	5
25134701	2009	2	3	2	4.91841229735361E-02	5.28890900483696E-02	0.155601561524854	3	5
63216671	2010	2	3	1	7.71446984343607E-03	2.10015542666515E-02	0.011632725973562	0	0
63216671	2008	2	3	1	0.113638062099621	0.182595126850747	0.250273216848592	0	0
25537679	2009	2	3	3	6.50587414433612E-03	6.86416866242999E-03	0.232950708980419	1	3
25537679	2008	2	3	3	-4.67486059844499E-02	-2.98829812298751E-02	-1.95394736842105	1	3
25537679	2010	2	3	3	-0.072102412981496	-0.135995713656978	-12.7252747252747	1	3
60916851	2008	2	3	2	7.04626745125188E-02	6.79762316833968E-02	4.98988850749049E-02	0	0
60916851	2010	2	3	2	7.91059358187115E-02	4.50922401559661E-02	8.54893839376028E-02	0	0
60916851	2009	2	3	2	0.146292938931298	0.128129770992366	0.152703937531151	0	0
49615157	2009	2	3	3	1.02402363438564E-02	0.02228898226423	1.32727514608213E-02	0	0
49615157	2008	2	3	3	0.046070766564453	6.80942151384667E-02	6.38479592261863E-02	0	0
49615157	2010	2	3	3	1.32971650444125E-04	4.03347339680513E-04	-2.76244978139132E-04	0	0
25586092	2010	2	3	1	6.36404475153486E-04	1.53672962970886E-02	-4.52562732353889E-03	0	0
25586092	2009	2	3	1	-2.16617754450647E-03	2.09151006096477E-02	-9.05209047994511E-03	0	0
25586092	2008	2	3	1	-9.56253221633965E-04	1.19013782571623E-02	-8.88716884213489E-03	0	0
46901507	2008	2	4	1	2.95377014713276E-02	5.77353770978157E-02	5.06026120683331E-02	3	3
46901507	2009	2	4	1	0.127620694909198	0.175491462418236	0.202845828474339	3	3
46901507	2010	2	4	1	6.47836094103644E-02	8.09813433845211E-02	9.80279689719218E-02	3	3
16355407	2008	1	4	1	0.126352021972499	-0.143592073722269	0.325541300015674	3	3
16355407	2009	1	4	1	0.107274427729051	7.72703597674799E-02	0.260113250418919	3	3
16355407	2010	1	4	1	0.120197401818659	8.64774303012132E-02	0.248068839543124	3	3
00568911	2010	2	3	1	1.78113422627529E-02	2.79915138849308E-02	1.84024180542353E-02	2	5
00568911	2008	2	3	1	0.122197114548931	0.167246074511849	0.14873215427232	2	5
00568911	2009	2	3	1	6.73387498945075E-02	8.73324587044752E-02	7.02976158441419E-02	2	5
